team,firstName,lastName,position,jerseyNum,ovr,speed,acceleration,strength,agility,awareness,catching,carrying,throwPower,throwAccuracy,kickPower,kickAccuracy,runBlock,passBlock,tackle,jumping,kickReturn,injury,stamina,toughness,trucking,elusiveness,bCVision,stiffArm,spinMove,jukeMove,impactBlocking,runBlockStrength,runBlockFootwork,passBlockStrength,passBlockFootwork,powerMoves,finesseMoves,blockShedding,pursuit,playRecognition,manCoverage,zoneCoverage,spectacularCatch,catchInTraffic,routeRunning,hitPower,press,release,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,playAction,throwOnTheRun,height,weight,age
Vikings,Matt,Kalil,LT,75,80,71,82,89,70,79,40,40,22,25,20,24,83,82,40,74,10,92,90,88,33,15,15,10,10,10,83,74,78,83,89,20,22,40,29,20,13,15,15,15,12,25,10,12,6,6,6,6,6,79,317,27
Seahawks,Jermaine,Kearse,WR,15,80,91,93,57,88,85,84,72,35,34,20,22,48,35,32,92,44,96,92,85,51,78,81,55,74,79,41,38,37,35,34,10,10,44,35,26,15,26,91,85,81,12,10,78,15,10,6,6,10,73,209,26
Colts,Kendall,Langford,LE,90,80,69,84,85,61,85,33,38,25,25,20,20,45,45,85,65,10,92,83,82,20,15,15,35,10,10,45,45,45,45,45,86,62,83,79,85,15,20,15,15,15,74,15,15,6,6,6,6,6,78,305,30
Browns,Andy,Lee,P,8,80,64,63,40,50,64,17,40,44,45,94,88,14,11,35,27,10,85,87,70,10,22,10,10,10,10,14,14,14,11,11,10,10,32,23,28,16,24,15,15,15,12,10,15,30,30,25,20,20,73,185,34
Falcons,Andy,Levitre,LG,67,80,57,76,85,59,84,12,40,29,9,9,14,90,77,25,25,10,95,88,90,10,20,10,10,10,10,79,82,91,88,95,10,10,27,48,31,9,11,15,15,15,20,10,15,6,6,6,6,6,74,303,30
Patriots,Dion,Lewis,HB,33,80,90,91,60,94,79,68,84,11,14,14,11,35,58,29,75,35,78,89,79,53,91,88,75,89,90,35,30,30,33,29,10,10,20,44,28,11,20,52,58,63,12,10,58,35,30,20,15,15,68,195,25
Packers,Corey,Linsley,C,63,80,70,79,92,66,78,35,40,26,24,22,22,82,81,29,75,10,91,82,84,24,11,10,10,10,10,90,89,85,81,71,10,10,10,30,10,12,12,12,10,10,12,10,12,6,6,6,6,6,75,301,25
Chargers,Corey,Liuget,RE,94,80,71,80,91,73,83,35,40,14,18,21,17,45,45,88,55,10,95,87,80,40,15,15,10,10,10,45,45,45,45,45,82,60,83,86,83,21,33,15,15,15,82,10,15,6,6,6,6,6,74,300,26
Seahawks,Tyler,Lockett,WR,16,80,93,91,49,96,81,86,71,30,23,30,25,35,30,25,85,96,81,91,71,32,88,93,35,88,95,35,35,32,32,30,5,10,25,30,15,10,25,78,82,85,8,10,76,15,10,6,6,10,70,182,23
Lions,Sam,Martin,P,6,80,74,72,46,68,61,45,48,44,46,96,88,25,20,24,65,10,92,85,65,10,20,15,10,10,10,15,15,15,15,15,10,10,10,35,15,10,25,12,10,10,12,10,12,15,15,15,15,15,73,210,26
Falcons,Jake,Matthews,LT,70,80,69,83,87,71,83,40,45,25,24,22,20,79,83,45,76,10,98,91,87,37,33,28,20,15,10,86,84,84,87,92,35,30,40,50,30,12,15,25,35,28,40,10,35,6,6,6,6,6,77,305,24
Titans,Jason,McCourty,CB,30,80,91,93,60,88,83,76,43,30,19,22,24,45,45,73,87,45,92,87,55,27,67,55,29,59,66,45,45,45,45,45,40,44,58,84,83,73,78,35,45,15,60,82,12,6,6,6,6,6,72,193,29
Chargers,Brandon,Mebane,DT,91,80,61,79,91,60,86,20,40,25,32,24,20,45,45,86,55,10,88,80,90,10,22,10,10,10,10,45,45,45,45,45,82,57,78,77,86,12,15,12,10,10,60,10,20,6,6,6,6,6,73,311,31
Vikings,Terence,Newman,CB,23,80,85,84,46,85,91,72,69,12,14,18,10,45,45,57,87,62,89,94,72,10,65,80,15,72,85,45,45,45,45,45,22,40,64,78,91,80,79,45,20,35,65,55,15,6,6,6,6,6,70,197,37
Steelers,Roosevelt,Nix,FB,45,80,79,87,75,77,73,57,71,35,30,25,25,71,59,45,80,40,90,82,85,78,52,76,75,68,75,81,64,64,61,60,10,10,47,51,20,12,15,65,70,63,25,10,45,20,15,10,10,10,71,248,24
Bengals,Mike,Nugent,K,2,80,74,62,34,52,66,16,40,28,20,91,87,16,17,25,32,10,90,92,65,10,24,10,10,10,10,16,16,16,17,17,10,10,25,22,29,20,14,15,15,15,12,10,15,35,30,25,20,20,70,190,34
Bears,Pat,O'Donnell,P,16,80,83,87,65,75,66,34,44,49,45,91,86,20,10,24,78,10,85,87,65,15,29,35,25,40,55,20,21,21,10,10,10,10,24,60,25,13,22,20,15,10,55,10,15,30,30,25,20,20,76,220,25
Jaguars,Ryan,Quigley,P,4,80,62,76,49,63,62,35,40,35,34,93,90,22,19,35,65,10,95,84,66,10,20,10,10,10,10,22,22,22,19,19,10,10,16,37,19,12,31,12,10,10,22,10,12,25,21,21,20,20,75,188,26
Seahawks,Thomas,Rawls,HB,34,80,90,88,67,82,79,57,89,25,26,15,11,35,48,35,85,57,88,87,78,89,73,90,76,80,86,34,39,39,49,45,5,5,27,34,22,15,10,49,48,50,15,15,46,30,25,15,10,10,69,215,23
Vikings,Xavier,Rhodes,CB,29,80,91,90,56,90,80,67,64,35,30,19,22,45,45,58,96,40,88,92,84,50,65,70,45,60,72,45,45,45,45,45,55,64,51,74,80,76,80,70,55,25,70,92,45,6,6,6,6,6,73,218,26
Jaguars,Telvin,Smith,LOLB,50,80,88,89,62,88,79,73,64,25,25,20,20,45,45,84,78,15,90,87,74,56,45,50,45,52,62,45,45,45,45,45,69,83,69,83,79,76,77,62,60,22,86,60,12,6,6,6,6,6,75,223,25
Panthers,Paul,Soliai,DT,90,80,64,83,91,53,85,25,40,21,24,20,24,45,45,79,52,6,87,75,82,25,12,10,10,10,10,45,45,45,45,45,83,59,80,77,85,12,15,12,10,10,70,10,12,6,6,6,6,6,76,345,32
Titans,Craig,Stevens,TE,88,80,81,87,80,66,79,75,71,30,30,35,35,89,63,50,69,30,90,76,80,72,30,64,67,40,55,79,77,74,68,70,30,20,25,45,15,12,15,63,74,64,20,10,72,15,10,6,6,10,75,263,32
Saints,Kenny,Vaccaro,SS,32,80,85,90,65,88,68,67,66,35,30,19,18,45,45,74,90,54,92,96,90,65,57,70,65,66,72,45,45,45,45,45,52,67,68,84,68,79,79,67,65,25,90,83,39,6,6,6,6,6,72,214,25
Browns,Tramon,Williams,CB,22,80,84,89,54,88,86,73,75,25,25,20,20,45,45,47,90,69,93,96,77,35,60,70,25,80,86,45,45,45,45,45,32,40,47,70,86,81,78,55,50,15,44,75,12,6,6,6,6,6,72,192,33
Cowboys,Terrance,Williams,WR,83,80,92,92,57,87,82,83,76,29,29,21,22,38,52,39,83,68,92,90,79,54,73,79,55,81,86,52,51,54,45,49,10,10,40,45,18,12,30,89,88,82,22,10,80,35,25,20,15,20,74,208,26
Jaguars,T.J.,Yeldon,HB,24,80,88,90,74,85,78,60,85,35,25,15,14,47,47,42,87,25,84,78,86,80,84,84,79,82,90,45,47,45,52,48,5,5,37,39,16,10,15,58,66,56,27,5,58,30,25,15,10,10,73,226,22
Buccaneers,Roberto,Aguayo,K,19,79,74,75,56,63,59,32,41,32,29,92,94,20,17,40,57,8,89,89,75,19,24,20,16,20,24,21,15,17,14,15,10,10,18,33,18,13,15,12,12,10,38,10,12,35,30,25,20,20,73,203,22
Texans,Antonio,Allen,FS,20,79,83,88,62,83,73,58,65,30,18,17,12,45,45,79,85,35,83,92,84,54,33,62,28,60,62,45,45,45,45,45,49,70,67,73,73,72,80,39,55,15,71,81,15,6,6,6,6,6,73,210,27
Chiefs,Allen,Bailey,RE,97,79,79,83,88,74,77,45,50,30,30,30,30,45,45,80,87,10,92,84,88,54,31,40,55,25,30,45,45,45,45,45,78,62,91,86,77,22,40,15,10,10,85,30,12,6,6,6,6,6,75,288,27
Packers,David,Bakhtiari,LT,69,79,67,78,84,65,83,40,22,22,25,20,20,74,89,40,66,10,89,85,69,25,10,10,15,10,10,71,81,75,85,81,10,10,20,28,15,10,10,12,15,15,25,10,15,6,6,6,6,6,76,310,24
Saints,Connor,Barth,K,3,79,68,64,40,55,66,23,40,40,45,88,87,16,17,29,25,10,84,75,70,10,15,10,10,10,10,16,16,16,17,17,10,10,29,32,24,11,17,15,15,15,12,10,15,15,15,15,15,15,71,200,30
Falcons,Vic,Beasley Jr.,ROLB,44,79,87,89,87,84,70,58,45,20,25,37,30,45,45,73,92,10,90,83,73,39,29,35,45,49,40,45,45,45,45,45,75,87,78,78,70,61,68,30,25,15,85,40,35,6,6,6,6,6,75,246,24
Steelers,Jordan,Berry,P,4,79,74,76,55,59,62,32,35,40,38,91,88,33,33,27,56,10,88,90,55,10,21,10,15,15,12,33,35,33,33,33,12,12,25,35,27,13,12,12,10,10,19,10,12,25,25,20,16,18,77,195,25
Lions,Anquan,Boldin,WR,80,79,81,83,79,82,80,88,74,65,55,24,16,65,28,45,86,65,84,90,99,81,74,89,91,82,83,65,60,70,45,55,10,10,55,55,21,14,27,83,87,83,12,20,84,50,44,28,25,66,73,220,35
Chargers,Joey,Bosa,LE,99,79,80,86,82,85,68,53,43,28,24,26,19,35,24,73,78,9,90,84,85,36,32,39,43,28,33,38,44,45,45,44,80,84,82,84,68,36,44,29,26,13,81,22,17,6,6,6,6,6,77,280,21
Rams,Michael,Brockers,DT,90,79,64,81,84,72,78,28,40,20,23,15,16,45,45,88,73,10,95,85,76,25,10,15,27,12,15,45,45,45,45,45,81,54,90,88,78,15,20,15,15,15,83,16,15,6,6,6,6,6,77,326,25
Packers,Bryan,Bulaga,RT,75,79,62,77,87,68,84,15,40,10,10,11,11,73,82,25,47,10,77,90,86,10,30,10,10,10,10,86,96,92,91,87,10,10,25,33,15,11,12,15,15,15,33,10,15,6,6,6,6,6,77,314,27
Lions,Josh,Bynes,ROLB,57,79,75,82,74,76,80,40,55,16,10,12,11,45,45,86,69,10,84,85,83,45,30,25,35,20,35,45,45,45,45,45,72,66,82,89,80,62,72,20,15,15,81,50,25,6,6,6,6,6,73,235,27
Bills,Dan,Carpenter,K,2,79,58,58,50,52,61,45,48,50,50,96,87,20,20,20,45,10,83,82,68,20,25,10,10,10,10,23,20,20,20,20,10,10,12,20,15,16,20,15,15,15,12,10,12,15,15,15,15,15,74,228,30
Jets,James,Carpenter,LG,77,79,62,76,90,65,80,35,40,11,11,15,12,88,79,31,32,10,86,81,95,10,21,10,10,10,10,73,90,82,79,69,10,10,25,30,28,12,13,15,15,15,20,10,15,6,6,6,6,6,77,321,27
Eagles,Brent,Celek,TE,87,79,73,82,72,74,86,85,69,30,30,15,15,66,57,25,74,45,90,85,82,65,61,77,69,70,72,73,75,82,55,59,10,10,41,35,20,15,20,74,79,75,25,25,77,15,10,6,6,10,76,255,31
Titans,Jack,Conklin,RT,78,79,72,81,84,62,72,24,29,22,21,18,19,84,81,34,65,9,92,87,95,24,14,12,15,12,11,81,80,76,81,78,15,14,26,29,19,11,14,15,15,14,24,10,16,5,5,5,5,5,78,308,22
Eagles,Vinny,Curry,LE,75,79,80,88,77,74,72,35,40,28,16,15,24,45,45,73,86,10,90,74,83,35,11,39,44,40,39,45,45,45,45,45,83,91,72,77,72,22,37,15,15,15,81,18,15,6,6,6,6,6,75,279,28
Vikings,Stefon,Diggs,WR,14,79,90,92,63,93,75,86,72,35,35,30,30,43,29,25,85,85,76,88,66,35,88,89,50,87,95,44,45,44,35,37,10,10,35,35,20,15,25,87,81,81,12,15,77,15,10,6,6,10,72,195,22
Panthers,Kony,Ealy,RE,94,79,74,85,81,85,77,38,45,15,14,15,15,45,45,76,78,10,92,83,73,25,35,20,29,45,25,45,45,45,45,45,85,73,74,78,77,41,60,32,35,10,85,10,12,6,6,6,6,6,76,275,24
Saints,Nick,Fairley,DT,90,79,74,80,88,72,70,45,40,15,16,12,11,45,45,86,79,10,87,83,95,55,17,39,49,39,35,45,45,45,45,45,83,69,82,84,70,24,34,12,10,10,87,10,12,6,6,6,6,6,76,308,28
Jets,Ryan,Fitzpatrick,QB,14,79,71,80,54,72,87,20,63,86,83,12,19,54,13,12,55,10,89,85,80,28,62,61,27,48,50,14,14,14,13,13,10,10,12,23,10,12,12,15,15,15,12,10,15,88,84,79,81,78,74,223,33
Jets,Nick,Folk,K,2,79,67,64,55,59,60,40,50,55,50,93,90,15,15,25,50,10,84,75,65,10,30,25,15,20,25,20,25,30,20,30,15,20,25,35,25,15,20,12,10,10,12,10,12,35,30,25,20,20,73,222,31
Rams,E.J.,Gaines,CB,33,79,87,89,53,88,74,64,54,30,30,20,20,45,45,62,79,64,90,93,70,29,66,64,25,72,73,45,45,45,45,45,35,44,47,69,74,87,85,45,55,35,59,79,30,6,6,6,6,6,70,190,24
Colts,Frank,Gore,HB,23,79,82,88,74,82,90,66,82,31,24,20,14,45,66,32,70,15,86,90,97,84,71,91,84,81,83,38,38,38,70,74,10,10,32,40,30,14,18,66,65,65,20,20,67,35,30,20,15,15,69,217,33
Bears,Robbie,Gould,K,9,79,55,54,25,52,64,15,40,29,20,94,86,20,16,23,27,10,90,75,65,10,27,10,10,10,10,20,20,20,16,16,10,10,23,21,19,11,14,12,10,10,12,10,12,35,30,25,20,20,72,185,34
Broncos,Virgil,Green,TE,85,79,84,88,64,82,73,79,72,24,21,19,12,74,73,40,83,7,88,84,65,66,79,75,61,76,78,74,75,79,64,60,10,10,48,49,13,11,16,74,77,68,25,25,61,15,10,6,6,10,77,255,28
Colts,D'Qwell,Jackson,MLB,52,79,75,82,77,75,86,61,59,26,40,17,19,45,45,90,74,13,84,97,85,40,35,37,10,51,55,45,45,45,45,41,71,53,71,83,86,68,74,15,15,10,85,50,20,6,6,6,6,6,72,240,32
Raiders,Sebastian,Janikowski,K,11,79,64,65,54,59,63,25,40,24,16,97,85,31,29,44,29,10,90,84,65,35,31,10,10,10,10,31,31,31,29,29,10,10,30,20,25,11,18,15,15,15,30,15,20,35,30,25,20,20,73,258,38
Jaguars,Luke,Joeckel,LT,76,79,60,77,87,72,79,40,50,25,24,21,19,81,81,45,74,10,87,95,86,35,30,25,10,10,10,91,84,91,87,96,40,30,40,50,30,12,15,25,35,28,40,10,35,6,6,6,6,6,78,315,24
Bengals,Michael,Johnson,RE,90,79,81,88,73,80,80,45,40,20,30,25,15,45,45,80,87,10,88,84,70,50,20,10,45,55,50,45,45,45,45,45,60,77,88,80,80,51,69,25,15,15,70,30,15,6,6,6,6,6,79,280,29
Eagles,Donnie,Jones,P,8,79,68,71,45,58,69,12,40,45,45,85,88,7,9,23,36,10,87,89,60,10,20,10,10,10,10,7,7,7,9,9,10,10,23,10,26,10,27,15,15,15,12,10,15,30,30,25,20,20,74,221,36
Ravens,Kendrick,Lewis,FS,23,79,80,86,60,82,73,63,64,30,30,20,15,45,45,78,88,35,81,91,86,33,49,55,15,70,66,45,45,45,45,45,40,35,63,81,73,70,79,74,55,20,86,81,15,15,10,10,15,15,72,205,28
Bears,Kyle,Long,RG,75,79,72,83,84,69,76,40,45,67,44,14,14,87,78,55,70,15,89,90,91,35,10,25,39,25,22,84,82,80,83,88,68,45,65,53,39,15,20,12,10,10,62,10,15,6,6,6,6,6,78,328,27
Panthers,Star,Lotulelei,DT,98,79,57,73,96,72,80,45,55,29,25,28,27,45,45,93,70,10,88,84,93,33,15,25,45,35,30,45,45,45,45,45,77,50,82,89,80,15,24,25,30,15,88,20,15,6,6,6,6,6,74,315,26
Chargers,Dwight,Lowery,FS,20,79,82,88,58,84,78,70,66,36,36,25,25,45,45,74,86,63,90,94,78,35,40,85,28,71,78,45,45,45,45,45,22,35,53,71,78,71,79,40,60,45,54,64,30,6,6,6,6,6,71,212,30
Titans,Marcus,Mariota,QB,8,79,88,90,60,91,76,58,50,89,80,40,36,20,20,28,90,10,93,97,95,40,79,90,46,81,83,20,20,20,20,20,10,10,25,35,31,10,24,31,26,39,12,10,23,88,84,76,67,88,76,222,22
Jaguars,Sen'Derrick,Marks,DT,99,79,68,82,82,68,82,33,40,21,14,17,15,45,45,80,66,10,86,82,80,10,35,10,10,10,10,45,45,45,45,45,82,67,82,85,82,12,24,15,15,15,52,12,15,6,6,6,6,6,74,316,29
Titans,Rishard,Matthews,WR,18,79,88,89,66,86,86,84,72,28,24,26,19,53,47,31,88,76,89,93,86,64,65,84,55,88,78,45,50,49,47,42,10,10,52,37,27,10,21,83,86,84,12,10,79,15,10,6,6,10,72,217,26
Cowboys,Darren,McFadden,HB,20,79,89,90,72,80,85,62,84,66,60,25,25,29,51,35,90,76,72,88,74,81,67,88,84,82,81,45,40,40,55,54,10,10,20,45,20,12,15,65,66,75,15,15,66,51,45,20,20,40,73,210,29
Browns,Rahim,Moore Sr.,FS,20,79,86,90,63,89,72,75,67,24,26,14,15,45,45,68,89,45,95,90,74,30,65,66,35,75,72,45,45,45,45,45,40,55,41,70,72,67,81,78,70,30,81,74,20,15,10,10,15,15,73,208,26
Cowboys,Alfred,Morris,HB,46,79,87,87,82,82,81,57,90,38,35,25,25,63,56,45,86,54,94,93,90,86,71,87,88,84,74,66,63,61,62,60,10,10,25,55,15,13,25,45,63,49,20,20,65,10,10,10,10,10,70,224,27
Rams,Alec,Ogletree,MLB,52,79,83,89,67,87,75,72,60,25,27,14,12,45,45,91,84,10,87,93,81,35,45,51,45,55,40,45,45,45,45,45,61,78,81,92,75,62,67,55,54,15,89,79,25,40,35,30,25,39,74,245,24
Raiders,Jamize,Olawale,FB,49,79,85,82,73,73,71,57,72,30,20,25,24,78,60,46,74,35,92,81,77,81,49,74,74,59,54,74,68,67,55,51,10,10,45,22,13,13,15,45,52,51,60,10,54,20,15,10,10,10,73,240,27
Chargers,Branden,Oliver,HB,43,79,87,90,70,91,72,65,88,30,25,23,15,44,50,35,83,84,90,89,75,68,84,86,71,84,88,42,39,38,45,49,20,30,32,40,15,19,29,65,64,63,20,20,62,35,30,20,15,15,68,208,25
Colts,Joe,Reitz,RT,76,79,60,64,86,52,83,20,35,20,12,12,12,78,83,30,33,10,94,74,82,10,15,10,10,10,10,79,86,77,81,75,10,10,33,30,10,12,12,12,10,10,12,10,12,6,6,6,6,6,79,325,30
Vikings,Brian,Robison,LE,96,79,78,86,81,73,84,49,40,20,20,15,15,45,45,72,87,10,94,89,82,35,28,20,35,15,20,45,45,45,45,45,64,87,76,76,84,36,65,15,10,10,69,25,12,6,6,6,6,6,75,259,33
Packers,Richard,Rodgers,TE,82,79,78,84,65,82,81,84,79,29,29,22,19,66,56,44,79,10,88,84,67,66,63,75,66,73,74,60,58,63,55,57,10,10,44,42,16,15,17,87,83,75,12,10,74,15,10,6,6,10,76,257,23
Steelers,Ryan,Shazier,MLB,50,79,90,90,83,88,78,68,59,20,19,27,23,45,45,86,97,10,79,93,78,44,64,44,45,49,52,45,45,45,45,45,81,69,77,86,78,55,65,45,40,15,87,54,25,6,6,6,6,6,73,230,23
Jaguars,Dan,Skuta,ROLB,55,79,77,85,72,74,80,53,65,18,17,14,35,45,45,86,64,10,92,87,79,65,25,60,66,60,55,45,45,45,45,45,83,70,81,84,80,55,65,40,45,38,72,45,55,6,6,6,6,6,74,265,30
Ravens,Ronnie,Stanley,LT,79,79,66,80,82,75,72,24,32,22,22,20,17,83,86,31,73,9,91,88,81,27,17,15,19,13,22,83,82,81,84,84,18,14,27,29,18,11,13,20,22,19,42,9,22,6,6,6,6,6,78,315,22
Packers,James,Starks,HB,44,79,85,88,67,86,82,67,78,38,22,33,31,35,55,32,68,50,78,87,86,79,78,88,78,82,87,42,40,35,45,35,10,10,25,48,32,19,23,70,73,74,12,10,76,35,30,20,15,15,74,218,30
Falcons,Jacob,Tamme,TE,83,79,81,87,61,78,86,86,82,30,30,25,25,59,51,40,73,30,88,86,82,69,49,78,68,78,74,55,54,55,51,50,30,20,40,40,15,12,15,84,82,83,20,10,79,20,15,10,10,10,75,230,31
Dolphins,Ryan,Tannehill,QB,17,79,81,85,62,83,78,76,61,91,79,68,72,40,35,36,85,20,94,95,92,47,67,85,46,76,78,39,40,42,35,36,10,10,25,29,15,15,25,78,70,62,22,10,73,85,86,73,72,84,76,220,28
Ravens,Lardarius,Webb,CB,21,79,89,91,51,90,83,70,66,25,30,20,20,45,45,60,90,76,88,95,76,20,78,84,25,83,87,45,45,45,45,45,35,42,57,66,83,81,74,74,67,15,60,67,20,15,10,10,15,15,70,182,30
Cowboys,J.J.,Wilcox,FS,27,79,87,91,62,88,73,68,65,24,25,26,19,45,45,79,73,68,86,88,84,60,69,75,65,72,76,45,45,45,45,45,55,61,53,74,73,65,78,76,69,45,90,46,45,6,6,6,6,6,72,212,25
Bills,Karlos,Williams Sr.,HB,29,79,90,89,68,83,76,60,85,35,34,19,17,66,70,49,83,76,80,79,79,86,78,86,84,76,84,57,54,55,63,62,5,10,50,55,39,30,55,63,67,69,74,39,62,30,25,15,10,10,73,225,23
Eagles,Stefen,Wisniewski,C,61,79,59,76,85,64,82,22,40,33,26,33,36,78,83,35,40,10,94,84,94,10,15,10,10,10,10,94,88,93,80,85,10,10,16,29,18,7,13,25,20,20,20,10,25,6,6,6,6,6,75,305,27
Titans,Kendall,Wright,WR,13,79,89,90,54,94,81,86,67,33,35,16,17,48,40,30,90,73,96,95,77,61,86,88,40,87,92,45,45,40,40,35,10,10,40,27,25,10,15,89,87,82,12,10,67,15,10,6,6,10,70,191,26
Lions,Ameer,Abdullah,HB,21,78,88,95,76,90,75,64,75,35,31,23,21,37,38,30,91,83,85,86,85,65,89,88,68,89,93,27,29,28,39,38,5,5,30,17,23,10,19,61,64,55,21,25,51,30,25,15,10,10,69,205,23
Colts,Mike,Adams,SS,29,78,81,84,61,82,82,75,65,23,21,15,15,45,45,67,81,50,90,85,70,45,35,35,17,62,40,45,45,45,45,45,21,29,50,73,82,64,78,20,20,15,64,70,20,15,10,10,15,15,71,205,35
Ravens,Kamar,Aiken,WR,11,78,87,88,62,85,84,86,73,35,30,22,19,48,45,37,89,76,92,83,60,63,77,78,66,72,78,49,47,45,44,42,10,10,54,46,18,16,19,79,83,84,15,15,75,15,10,6,6,10,74,215,27
Patriots,Ryan,Allen,P,6,78,71,70,44,62,63,24,35,37,35,90,87,15,14,29,65,10,95,80,64,10,20,10,10,10,10,14,14,14,11,11,10,10,10,10,19,16,27,15,15,15,12,10,15,30,30,25,20,20,74,220,26
Texans,Jeff,Allen,RG,79,78,64,77,87,66,68,45,40,30,30,25,25,90,79,33,73,10,85,79,74,15,10,10,15,10,10,82,81,87,75,79,10,10,15,23,10,12,12,12,10,10,12,10,12,6,6,6,6,6,76,306,26
Chargers,Travis,Benjamin,WR,12,78,93,91,37,96,84,84,77,30,25,20,15,45,26,20,90,95,82,92,62,34,88,87,37,83,93,33,30,25,28,24,15,20,35,19,15,15,20,82,81,84,12,13,62,10,10,10,10,10,70,175,26
Panthers,Tre,Boston,SS,33,78,87,89,68,88,68,75,69,15,19,14,13,45,45,74,86,40,92,89,76,55,64,66,58,50,55,45,45,45,45,45,58,53,73,75,68,72,81,72,68,25,86,74,35,6,6,6,6,6,73,205,24
Eagles,Sam,Bradford,QB,7,78,62,66,51,64,85,32,58,88,86,15,12,13,12,28,62,10,71,95,78,22,33,54,25,50,55,13,13,13,12,12,10,10,22,14,26,13,31,12,10,10,12,10,12,87,84,79,81,74,76,224,28
Cardinals,Deone,Bucannon,MLB,20,78,89,91,75,83,78,75,68,29,23,19,22,45,45,82,86,35,94,88,88,63,40,74,55,65,61,45,45,45,45,45,66,56,75,81,78,73,84,72,70,20,92,70,25,6,6,6,6,6,73,220,24
49ers,DeForest,Buckner,RE,99,78,71,81,79,83,71,48,44,22,18,20,19,45,46,86,84,11,91,84,88,45,28,38,33,23,28,39,44,45,46,44,83,72,82,84,71,33,42,21,18,14,87,22,17,6,6,6,6,6,79,300,24
Falcons,Chris,Chester,RG,65,78,72,80,81,62,83,67,60,12,10,15,11,86,75,35,67,10,85,87,80,45,35,55,50,40,40,79,84,83,84,78,10,10,35,23,25,11,20,35,45,55,20,10,50,6,6,6,6,6,75,303,33
Browns,Corey,Coleman,WR,19,78,93,93,69,90,71,77,70,29,26,23,22,43,39,28,93,68,89,92,83,39,82,83,48,82,84,29,34,34,26,24,11,11,26,43,21,29,24,91,83,80,24,20,86,15,10,6,6,10,71,194,22
Cowboys,La'el,Collins,LG,71,78,72,75,88,65,75,30,40,25,25,24,22,81,77,34,76,10,92,85,88,24,15,10,25,10,10,94,91,87,82,74,10,10,15,23,10,12,15,12,10,10,20,10,12,6,6,6,6,6,76,321,23
Jaguars,Aaron,Colvin,CB,22,78,88,89,52,89,83,52,61,35,35,20,20,45,45,65,86,45,76,87,76,24,70,69,30,64,71,45,45,45,45,45,33,42,48,77,83,73,80,34,32,30,55,74,30,6,6,6,6,6,72,194,24
Titans,Perrish,Cox,CB,24,78,86,87,42,92,83,74,66,28,22,12,12,45,45,54,93,83,92,90,68,39,86,88,35,82,89,45,45,45,45,45,31,38,47,67,83,77,81,70,55,25,44,71,12,6,6,6,6,6,72,190,29
49ers,Anthony,Davis,RT,76,78,58,77,90,65,75,25,40,25,40,28,15,79,83,39,74,11,78,76,87,10,21,10,10,10,10,76,93,82,82,75,10,10,39,25,10,12,12,12,15,10,25,10,12,6,6,6,6,6,77,323,26
Buccaneers,Demar,Dotson,RT,69,78,49,64,86,52,81,25,35,22,20,15,15,81,78,55,50,10,92,83,80,20,10,10,10,10,10,86,81,91,78,88,60,40,50,35,30,10,12,12,10,10,39,10,12,6,6,6,6,6,81,315,30
Raiders,Mario,Edwards Jr.,RE,97,78,78,81,88,71,70,58,45,33,19,21,25,45,45,82,81,10,83,74,75,25,10,15,25,15,15,45,45,45,45,45,84,68,89,84,70,24,34,15,15,15,88,15,15,6,6,6,6,6,75,280,22
Cardinals,Andre,Ellington,HB,38,78,89,89,54,93,81,66,84,25,24,15,15,35,39,29,84,76,76,93,84,59,74,88,62,87,93,27,32,33,35,39,10,10,26,35,20,15,15,65,73,74,20,20,50,33,29,20,15,15,69,199,27
Chiefs,Eric,Fisher,LT,72,78,69,82,86,74,80,40,45,29,19,21,11,78,81,43,76,10,91,94,86,39,25,35,44,25,28,87,82,87,85,93,35,39,40,35,30,12,12,25,30,20,35,10,30,6,6,6,6,6,79,315,25
Chargers,Brandon,Flowers,CB,24,78,86,91,60,88,87,67,70,40,40,25,25,45,45,63,86,61,90,94,80,45,32,87,38,80,87,45,45,45,45,45,52,62,51,77,87,69,79,45,50,50,74,82,50,6,6,6,6,6,69,187,30
Buccaneers,William,Gholston,RE,92,78,72,81,77,73,77,45,46,35,32,30,30,45,45,82,76,10,87,75,77,54,24,38,52,45,35,45,45,45,45,45,82,64,90,85,77,24,54,15,10,10,87,50,20,6,6,6,6,6,78,281,25
Ravens,Crockett,Gillmore,TE,80,78,78,82,67,77,72,82,74,35,30,20,20,76,56,38,83,30,93,87,75,64,49,70,70,65,71,65,67,69,65,64,10,10,51,42,25,15,25,84,80,73,20,20,74,15,10,6,6,10,78,270,24
Vikings,Chad,Greenway,ROLB,52,78,79,83,71,74,86,54,65,30,40,8,14,45,45,81,76,10,89,97,89,41,15,38,52,10,60,45,45,45,45,45,79,65,62,75,86,64,70,20,15,15,72,73,25,6,6,6,6,6,74,242,33
Vikings,Michael,Griffin,FS,33,78,86,89,63,81,76,68,85,30,35,20,15,45,45,60,87,70,94,95,74,20,65,60,25,77,86,45,45,45,45,45,30,40,57,68,76,78,79,72,70,30,74,74,20,15,10,10,15,15,72,215,31
